num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1,position
0,11.3,7650.9195,4876.8895,16.076659219378307,-64.43765530001923,-48.360996080640916,1109,1108.19,0,0,0,0,35.35,1109.17,1109.39,0
1,4.46,2062.8305,2882.5332000000003,6.965149769584632,-5.788233988236663,1.1769157813479678,1109.32,1108.23,1108.06,10,1110,10,-41.480000000000004,1108.11,1108.76,0
2,8.05,4968.1017999999995,3957.1225000000004,69.23110683685195,-13.452311577310377,55.77879525954157,1109.35,1108.13,0,0,1110,10,44.620000000000005,1108.9,1109.4,0
3,12.079999999999998,10864.290700000003,2540.4284000000002,16.083111664559137,-32.352598752599036,-16.2694870880399,1109.99,1108.91,0,0,0,0,4.460000000000001,1109.31,1109.32,0
4,17.43,3971.0479000000005,15355.584100000004,53.74973286875922,-32.44717631544702,21.3025565533122,1109.83,1108.45,0,0,0,0,-35.76,1108.43,1108.44,0
5,7.249999999999999,5156.321000000001,2882.7965,96.22382742614637,-17.336819343122055,78.88700808302431,1109.72,1108.43,1108.06,10,0,0,-18.120000000000005,1108.43,1108.54,0
6,36.25,22739.2107,17459.258,14.460073252640738,17.773675670145956,32.233748922786695,1109.79,1108.08,0,0,0,0,41.17999999999999,1108.92,1109.32,0
7,11.219999999999999,2805.8861999999995,9634.384,9.829936489316363,-6.964308048695429,2.8656284406209345,1109.58,1108.47,0,0,0,0,-9.169999999999998,1108.7,1108.91,0
8,11.95,6530.879700000001,6717.238800000001,23.454704462198553,-20.563792513795647,2.890911948402903,1109.22,1108.07,0,0,0,0,4.870000000000001,1108.28,1108.99,0
9,9.96,4302.5013,6738.849099999999,8.295591542958888,-10.238836290838961,-1.9432447478800718,1109.09,1108.2,1108.06,10,1110,10,-60.19,1108.09,1108.58,0
10,26.589999999999996,15021.770499999999,14449.764000000001,-66.36364841899982,-31.108169934638717,-97.47181835363851,1108.86,1107.98,0,0,0,0,-30.209999999999997,1107.94,1108.45,0
11,12.320000000000002,4231.936200000001,9413.641999999998,37.818648018649554,41.44550728742318,79.26415530607272,1108.45,1107.02,0,0,0,0,-1.089999999999998,1108.06,1108.54,0
12,19.6,18264.1935,3481.1094000000003,40.1017578939387,-6.97820512819919,33.12355276573951,1110,1108.06,0,0,0,0,30.169999999999995,1111.64,1112.63,0
13,19.740000000000002,16435.548199999997,5511.473300000001,101.07137526461543,-39.57441309162134,61.49696217299409,1112.63,1110.25,0,0,0,0,-32.19,1110.15,1110.83,0
14,21.630000000000003,5397.6482,18623.389499999994,67.53646265081431,-125.18473179619721,-57.64826914538289,1111.45,1109.9,0,0,0,0,-20.940000000000005,1109.95,1110.52,0
15,9.979999999999999,8297.2774,2787.4613,63.48866138105936,-49.706535334601654,13.782126046457714,1111.71,1110.1,0,0,0,0,34.63,1110.69,1111.3,0
16,8.600000000000001,2767.0703,6787.942799999999,13.197835497836328,-70.30468037122455,-57.10684487338819,1112.47,1110.67,0,0,0,0,31.279999999999998,1111.89,1112.1,0
17,2.6000000000000005,1145.3934,1746.2939,25.66666666666606,-3.7334710743803714,21.933195592285692,1112.63,1111.87,0,0,1112.85,2.63,29.689999999999998,1112.15,1112.63,0
18,5.709999999999999,3559.7546,2791.6276000000003,-29.975436551746146,-2.5810053981115932,-32.556441949857735,1112.64,1112.01,1111.98,20.24,0,0,15.079999999999998,1112.15,1112.64,0
19,5.85,4761.6926,1746.1215000000002,11.645308363731173,-8.226495726495434,3.4188126372357344,1112.92,1112.14,0,0,0,0,37.760000000000005,1112.59,1113.06,0
20,4.879999999999999,4062.0530000000003,1368.3198000000002,8.521788687146575,-49.459587513937656,-40.93779882679109,1113.06,1112.37,1111.98,20.45,0,0,-41.86,1112.26,1112.39,0
21,7.9399999999999995,5509.3571,3326.59,29.548093018345842,-16.357051282061477,13.191041736284367,1113.17,1112.22,0,0,0,0,41.269999999999996,1112.74,1113.2,0
