num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1
0,29.679999999999996,7454.2423,28628.559299999994,45.89013775596389,-42.38721892560405,3.50291883035985,1216.61,1215.37,0,0,1216.61,53.37,-74.25999999999999,1215.42,1215.93
1,10.619999999999997,7818.982699999999,5092.5322,34.27664510087243,-62.91854975528319,-28.641904654410762,1216.6,1215.01,0,0,0,0,-22.97,1214.97,1215.69
2,12.110000000000001,2686.5029,12030.4355,69.40068589705237,-15.982083086038783,53.41860281101361,1216.5,1214.97,0,0,0,0,3.619999999999999,1215.09,1215.33
3,4.4799999999999995,1980.8373000000001,3462.3516999999993,25.05796137045516,-62.25878237260137,-37.200821002146206,1215.37,1214.54,0,0,0,0,-26.340000000000003,1214.99,1215.39
4,4.179999999999999,1555.2235,3522.5782,47.27117777415224,-67.89357834548478,-20.62240057133255,1215.37,1214.5,1214.02,4.44,0,0,-31.379999999999995,1214.52,1214.99
5,18.83,4252.2066,18611.8562,11.238776581413362,-84.27092716002089,-73.03215057860751,1215,1213.58,0,0,0,0,-34.28,1213.44,1213.5
6,52.36,42749.15240000002,20775.80579999999,48.933130951917846,-3.104209459496813,45.82892149242104,1215.16,1211.71,0,0,0,0,29.169999999999995,1214.62,1214.95
7,23.32,3959.084,24344.185199999996,15.726698978529411,-75.61528526239361,-59.88858628386418,1215.09,1213.21,0,0,0,0,-13.229999999999999,1214.13,1215.18
8,30.93,31437.0523,6162.2831,150.44078107567273,-55.51021900094919,94.93056207472355,1216.61,1213.1,0,0,1216.61,52.08,31.86,1215.16,1215.59
9,6.6,7113.816099999998,911.4024000000001,44.462017752172386,-36.542471042466175,7.919546709706222,1216.61,1214.63,0,0,1216.61,51.99,74.6,1216.11,1216.32
10,10.21,10899.0895,1519.9142,16.95405022638421,-19.610682059874105,-2.6566318334898984,1216.61,1215.68,0,0,1216.61,48.96,-69.17999999999999,1215.83,1216.06
11,56.379999999999995,66389.97469999999,2200.8738,76.0062433083692,-34.748471562535826,41.25777174583338,1217.42,1215.71,0,0,0,0,71.66999999999999,1217.16,1217.7
12,5.699999999999999,2629.5158,4308.6491000000005,91.48622613296106,-49.22446118696282,42.26176494599823,1217.76,1216.88,0,0,0,0,-28.599999999999998,1216.9,1217.69
13,4.08,2154.9898999999996,2811.3941,28.974900793649184,-29.24510978010578,-0.27020898645659214,1217.77,1216.79,0,0,1217.81,5,-34.599999999999994,1216.61,1217.14
14,5.029999999999999,3931.437700000001,2189.9934,26.239326854237763,6.493906882603263,32.73323373684103,1217.34,1216.53,0,0,0,0,-10.2,1216.61,1216.62
15,29.64,24506.435699999998,11568.942499999997,36.132024964563016,-42.54825904564127,-6.4162340810782545,1217.81,1216.29,0,0,0,0,-2.3099999999999987,1216.29,1216.81
16,1.86,1715.3916000000002,547.3351,6.494285714285724,-6.714999999999577,-0.22071428571385265,1216.84,1216.29,1215.93,2.66,1217.49,2.46,-31.47,1216.29,1216.69
17,2.06,291.9792,2213.2523,7.3263157894727655,-25.576315789461095,-18.24999999998833,1216.58,1216,1215.64,2.71,1216.76,2.83,-29.580000000000002,1216,1216.05
18,2.0500000000000003,0,2491.4461,0,-21.763795731694678,-21.763795731694678,1216,1215,1214.64,2.66,1216.65,2.46,-31.05,1215.01,1215.58
19,18.55,1555.2487999999998,20968.4291,71.67222222220025,-50.66143064627604,21.01079157592419,1215.59,1213.88,0,0,0,0,-41.25,1213.88,1213.91
20,10.699999999999998,11862.9262,1128.9392000000003,6.8388632555758395,-67.68959435625251,-60.850731100676676,1214.35,1213.51,0,0,0,0,2.7100000000000026,1213.54,1214.26
21,2.3799999999999994,2756.4288000000006,133.6253,55.06693923357793,-46.2499999999892,8.816939233588737,1214.99,1214.03,1213.85,2.47,1214.81,3.01,30.96,1214.22,1214.79
22,2.7,449.4484,2829.4678,10.22267206477666,-3.2390873015881327,6.983584763188527,1214.99,1214.22,0,0,0,0,33.529999999999994,1215,1215.27
23,15.649999999999999,12857.0027,6161.434799999999,61.321137398667155,-23.857064177651562,37.46407322101559,1216.44,1214.1,0,0,0,0,7.399999999999999,1215.34,1215.41
24,6.08,6992.277400000001,401.07410000000004,24.683234888010162,-90.00000000002046,-65.3167651120103,1216.43,1215.34,0,0,0,0,29.379999999999995,1215.8,1216.03
25,11.899999999999999,6131.902,8342.488,21.3542927948505,-10.4953783898641,10.858914404986393,1216.8,1215.8,0,0,0,0,27.36,1216.36,1216.65
26,9.57,10846.172299999998,803.0353,39.352818802121845,-24.164941338850802,15.187877463271036,1217.81,1216.34,0,0,0,0,29.22,1217.33,1217.8
27,6.179999999999999,474.4352,7044.552300000001,1.9999999999998048,-53.60258980823469,-51.60258980823488,1217.8,1215.43,0,0,0,0,-37.900000000000006,1215.88,1216.3
28,19.749999999999996,18708.1093,5313.002,10.470477178140241,-23.6565861040929,-13.186108925952663,1216.99,1215.39,0,0,0,0,39.980000000000004,1216.98,1216.99
29,38.009999999999984,40082.75989999998,6255.367,122.6306825851852,-49.79279102136209,72.83789156382313,1220,1216.98,0,0,0,0,27.96,1219.09,1219.22
30,20.11,7717.445600000002,16792.080200000004,55.459196074698845,-131.63386934882362,-76.17467327412477,1219.77,1217.44,0,0,0,0,-54,1218.31,1218.98
31,31.07,30881.334199999998,6996.508999999999,-16.254243430725822,-40.997634098176185,-57.25187752890202,1220,1218,0,0,0,0,26.3,1218.56,1218.94
32,19.060000000000002,21295.679099999998,1937.2038000000002,4.001589001402401,-72.98181818181203,-68.98022918040962,1219,1218.1,0,0,0,0,-2.7600000000000033,1218.34,1218.99
33,21.479999999999997,24038.97339999999,2157.5153999999998,68.70936886296525,-29.500917252155933,39.20845161080933,1220.09,1218.35,0,0,0,0,37.18000000000001,1219.12,1219.69
34,35.82999999999999,23726.266799999994,19970.2632,76.35432382747815,-52.68914339117517,23.665180436302993,1220.37,1218.56,0,0,0,0,45.97,1219.75,1220.26
35,7.0600000000000005,2476.6868999999997,6135.0493,24.920704948641607,-33.53490421017521,-8.614199261533605,1220.27,1219.39,1220.04,15.58,1220.37,18.67,23.09,1220.07,1220.35
36,10.09,5478.115000000001,6832.268099999999,10.955721801801236,-1.1381190326337685,9.817602769167468,1220.35,1219.93,1220.04,14.27,1220.37,18.96,-17.259999999999987,1220.05,1220.06
37,16.509999999999998,2403.5319999999997,17739.3779,-0.11637999681467358,-15.586420674582339,-15.702800671397013,1220.07,1219.73,0,0,1220.37,18.67,-59.58,1219.6,1220.25
38,9.43,8783.175,2720.2065999999995,54.113285039517294,-147.5151383398985,-93.40185330038118,1220.36,1218.95,0,0,1220.37,19.59,-13.380000000000003,1219.67,1220.03
39,27.809999999999995,15357.301600000003,18559.953700000005,97.42450987631759,-164.12320079722664,-66.6986909209091,1220.11,1218.64,0,0,0,0,-43.52,1219.26,1219.82
40,3.0999999999999996,12.194700000000001,3764.8264,23.00000000000182,-54.11316772527806,-31.113167725276234,1219.47,1217.59,0,0,0,0,-27.64,1217.44,1217.88
41,4.620000000000001,3251.7819,2374.9048000000003,18.381323856881455,-19.050828383081058,-0.6695045261996029,1218.21,1217.44,0,0,0,0,-28.700000000000003,1217.44,1217.47
