num,amount,buyAmount,sellAmount,buySum,sellSum,startPrice,endPrice,buyMaxPrice,buyMinPrice,sellMaxPrice,sellMinPrice,maxPrice,minPrice,bestBidDepth,bestAskDepth
31,68.63300000000001,59.712,8.921,77917.98754,11640.83694,1304.91,1304.94,1304.94,1304.83,1304.93,1304.82,1304.94,1304.82,499.41300000000007,60.208
32,53.083,27.602000000000004,25.480999999999998,36018.95388000001,33250.72222,1304.94,1304.84,1304.94,1304.94,1304.93,1304.84,1304.94,1304.84,52.537000000000006,61.192
33,331.872,305.333,26.538999999999994,398512.67925000016,34631.81658,1304.94,1305.74,1305.74,1304.85,1305.39,1304.84,1305.74,1304.84,123.771,962.8430000000001
34,422.54800000000006,312.05100000000004,110.49700000000001,407286.94608000014,144278.88940000001,1304.85,1305.92,1305.92,1304.85,1305.92,1305,1305.92,1304.85,1297.7659999999996,100.02900000000002
35,129.36700000000002,8.764999999999999,120.60200000000003,11446.05321,157476.07253,1305.74,1305.92,1305.93,1305.74,1305.92,1305.73,1305.93,1305.73,116.02799999999999,162.466
36,36.554,10.345,26.209000000000003,13509.845850000002,34226.85728,1305.92,1305.92,1305.93,1305.93,1305.92,1305.92,1305.93,1305.92,66.411,137.99
37,73.799,54.361,19.438000000000002,70992.67319,25384.477520000004,1305.93,1306,1306,1305.93,1305.94,1305.92,1306,1305.92,123.887,128.838
38,64.497,59.065,5.432,77136.81605999998,7094.4870599999995,1305.93,1306.06,1306.06,1305.93,1306.06,1305.92,1306.06,1305.92,556.39,75.996
39,94.04499999999999,35.63100000000001,58.41399999999999,46535.19088,76290.34953999998,1306,1305.93,1306.07,1305.93,1306.06,1305.92,1306.07,1305.92,231.185,124.08
40,78.44299999999998,23.043000000000003,55.399999999999984,30095.17401,72353.58159999998,1306.07,1305.92,1306.07,1305.93,1306.06,1305.92,1306.07,1305.92,22.772,669.434
41,52.973000000000006,50.480000000000004,2.493,65928.2113,3255.76614,1305.92,1306.25,1306.26,1305.93,1306.25,1305.92,1306.26,1305.92,164.106,194.89000000000001
42,385.92500000000007,318.2720000000001,67.65299999999999,415833.1898,88409.22321000001,1305.92,1306.77,1306.89,1305.93,1306.88,1305.92,1306.89,1305.92,827.68,115.481
43,156.78199999999998,89.479,67.303,116932.39209,87952.07083000001,1306.88,1306.78,1306.89,1306.64,1306.88,1306.63,1306.89,1306.63,729.3399999999999,63.78200000000001
44,187.489,183.794,3.695,240202.77726000003,4828.85718,1306.78,1307.01,1307.01,1306.78,1306.99,1306.77,1307.01,1306.77,193.612,175.958
45,194.89699999999996,190.78899999999996,4.108,249356.57187000007,5368.713640000001,1306.78,1307.18,1307.18,1306.78,1307.17,1306.77,1307.18,1306.77,925.545,74.167
46,147.14000000000004,93.41200000000003,53.727999999999994,122109.39783000002,70242.76452,1307.03,1307.36,1307.4,1307.03,1307.39,1307.17,1307.4,1307.03,480.825,99.826
47,322.951,195.55,127.40100000000001,255672.18328,166573.95197,1307.18,1307.49,1307.56,1307.18,1307.55,1307.19,1307.56,1307.18,263.48499999999996,335.195
48,518.706,290.92699999999996,227.77900000000002,380380.6167299999,297821.27129999996,1307.37,1307.55,1307.56,1307.37,1307.55,1307.41,1307.56,1307.37,392.917,12.863000000000001
49,360.771,155.39,205.38100000000003,203161.25814000002,268529.26123999996,1307.49,1307.28,1307.56,1307.28,1307.55,1307.27,1307.56,1307.27,29.492,538.556
50,39.848,25.396,14.451999999999998,33199.68288000001,18892.7524,1307.34,1307.28,1307.28,1307.28,1307.34,1307.27,1307.34,1307.27,180.41,35.834
51,35.721,30.987,4.734,40509.01407999999,6188.619179999999,1307.28,1307.31,1307.32,1307.28,1307.31,1307.27,1307.32,1307.27,145.593,32.898
52,94.77199999999999,93.32,1.452,122008.96496999999,1898.34382,1307.28,1307.54,1307.54,1307.28,1307.48,1307.27,1307.54,1307.27,1128.6119999999999,47.729
53,132.12800000000004,130.40700000000004,1.7209999999999999,170515.59936999992,2250.2498299999997,1307.44,1307.74,1307.74,1307.44,1307.73,1307.48,1307.74,1307.44,1062.7840000000008,46.196
54,147.699,55.413,92.28600000000002,72460.92084999998,120681.81866,1307.62,1307.59,1307.74,1307.59,1307.73,1307.58,1307.74,1307.58,27.258,382.625
55,187.93399999999997,38.76999999999999,149.164,50693.720539999995,195051.10329000006,1307.58,1307.49,1307.65,1307.49,1307.64,1307.48,1307.65,1307.48,802.4199999999998,14.952
56,208.864,60.23199999999999,148.632,78753.35469000002,194354.33081000004,1307.65,1307.48,1307.65,1307.49,1307.64,1307.48,1307.65,1307.48,80.395,276.244
57,376.4739999999999,97.45299999999999,279.0209999999999,127421.12234,364789.48428999993,1307.49,1307.05,1307.6,1307.05,1307.59,1307.04,1307.6,1307.04,564.923,143.35599999999997
58,456.116,61.12700000000001,394.989,79924.88156000001,516346.00745000003,1307.49,1306.8,1307.6,1307.05,1307.59,1306.8,1307.6,1306.8,353.9310000000001,531.144
59,194.31400000000002,5.787999999999999,188.526,7563.474690000001,246365.84402000002,1307.04,1306.26,1306.81,1306.67,1307.04,1306.26,1307.04,1306.26,458.68800000000005,345.897
60,141.12400000000002,83.828,57.29600000000001,109506.13433,74856.72108,1306.81,1306.33,1306.81,1306.27,1306.8,1306.26,1306.81,1306.26,117.228,639.7400000000001
61,160.73700000000002,90.49000000000002,70.247,118206.47869999998,91764.96678,1306.26,1306.33,1306.33,1306.27,1306.32,1306.26,1306.33,1306.26,127.836,104.202
62,155.49699999999999,12.821000000000002,142.676,16748.41337,186380.06767999998,1306.32,1306.2,1306.33,1306.21,1306.32,1306.2,1306.33,1306.2,139.20299999999997,128.514
63,289.816,179.54299999999995,110.27300000000001,234516.45888999998,144046.6141,1306.32,1306.3,1306.33,1306.09,1306.32,1306.08,1306.33,1306.08,78.938,899.633
64,274.98499999999996,206.18899999999994,68.79600000000002,269325.19509,89867.62859000002,1306.2,1306.11,1306.4,1306.09,1306.43,1306.08,1306.43,1306.08,800.9630000000001,77.5
65,166.36599999999999,58.132999999999996,108.23299999999999,75927.11855,141343.08556000007,1306.31,1305.41,1306.4,1305.42,1306.43,1305.41,1306.43,1305.41,318.0490000000001,939.2630000000001
66,179.26000000000005,69.45100000000002,109.80900000000001,90663.10875000001,143370.76298,1306.09,1305.57,1305.97,1305.42,1306.09,1305.41,1306.09,1305.41,84.6,732.104
67,167.77000000000004,121.19400000000002,46.57600000000001,158211.37148999996,60805.00555000001,1305.41,1305.5,1305.56,1305.42,1305.57,1305.41,1305.57,1305.41,57.502,757.3460000000001
68,284.46800000000013,282.38300000000015,2.085,368745.06582,2721.8424000000005,1305.45,1306.28,1306.28,1305.45,1305.44,1305.44,1306.28,1305.44,683.8000000000002,728.42
69,271.58700000000005,216.65400000000005,54.933,282944.69305,71751.88874,1305.6,1305.99,1306.28,1305.6,1306.27,1305.98,1306.28,1305.6,172.222,201.233
70,86.687,21.253000000000004,65.434,27758.72195,85469.13021999999,1306.27,1306.29,1306.29,1305.99,1306.28,1305.98,1306.29,1305.98,114.353,583.1619999999999
71,178.54000000000002,157.52800000000002,21.012,205804.21544000003,27447.55056,1305.99,1306.8,1306.8,1305.99,1306.28,1305.98,1306.8,1305.98,378.39899999999994,834.5950000000001
72,584.4160000000002,519.1660000000002,65.25000000000001,678484.1693299997,85278.69660000001,1306.29,1307.04,1307.21,1306.29,1307.2,1306.28,1307.21,1306.28,874.5930000000005,284.259
73,525.8700000000001,385.2700000000001,140.59999999999997,503552.42331000016,183766.23877999996,1306.8,1306.64,1307.21,1306.65,1307.2,1306.64,1307.21,1306.64,265.84200000000004,621.8340000000001
74,165.32200000000006,67.025,98.29700000000005,87584.47492000001,128469.21174000001,1307.04,1306.81,1307.04,1306.65,1307.03,1306.64,1307.04,1306.64,92.766,377.811
75,261.77599999999995,196.91399999999996,64.862,257368.75845000005,84794.27275999999,1306.65,1307.21,1307.37,1306.65,1307.36,1306.72,1307.37,1306.65,410.57900000000006,417.837
76,213.20899999999995,148.92999999999995,64.27900000000001,194674.14894,84034.42022999997,1306.82,1307.22,1307.37,1306.82,1307.36,1307.21,1307.37,1306.82,197.216,321.125
77,225.58099999999996,61.518,164.06299999999996,80400.07767,214434.98931,1307.22,1306.93,1307.22,1306.85,1307.21,1306.84,1307.22,1306.84,385.66200000000003,196.855
78,224.121,55.982000000000006,168.139,73161.01342999999,219760.71243000004,1307.21,1306.94,1306.94,1306.85,1307.21,1306.84,1307.21,1306.84,146.923,129.622
79,178.06500000000003,142.24500000000003,35.82,185905.06841999997,46812.09122,1306.93,1306.81,1306.94,1306.82,1306.93,1306.81,1306.94,1306.81,7.675,175.802
80,239.32,134.247,105.073,175452.12113999997,137302.91818999997,1306.94,1306.5,1306.94,1306.73,1306.93,1306.5,1306.94,1306.5,281.962,482.5640000000001
81,156.833,61.222,95.61099999999999,79990.61176999999,124926.51444999999,1306.72,1306.87,1306.87,1306.51,1306.72,1306.5,1306.87,1306.5,188.729,342.66499999999996
82,205.147,165.275,39.87199999999999,215993.12466,52093.86372,1306.51,1307.19,1307.2,1306.51,1307.19,1306.5,1307.2,1306.5,1254.1520000000003,101.893
83,100.73599999999999,95.68799999999999,5.048,125071.25706000003,6598.69512,1307,1307.2,1307.2,1307,1307.19,1307.19,1307.2,1307,320.22,16.664
84,47.466999999999985,3.5349999999999997,43.93199999999999,4620.842000000001,57426.292469999986,1307.2,1307.08,1307.2,1307.09,1307.19,1307.08,1307.2,1307.08,75.877,190.59
85,71.11099999999999,20.397999999999996,50.712999999999994,26662.042319999997,66289.22343999999,1307.2,1307.13,1307.2,1307.09,1307.19,1307.08,1307.2,1307.08,123.128,131.638
86,91.02699999999999,58.245999999999995,32.781,76135.89158,42849.19468,1307.08,1307.16,1307.17,1307.09,1307.16,1307.08,1307.17,1307.08,345.87500000000006,40.218
87,119.81500000000001,38.896,80.91900000000001,50843.683260000005,105771.36246,1307.16,1307.05,1307.17,1307.05,1307.16,1307.06,1307.17,1307.05,78.338,144.402
